V200001,V162031x,V162062x
209586,1,2
211206,1,2
233169,1,2
203670,1,4
203458,1,1
204987,1,2
231989,1,3
223506,1,3
233268,1,2
233633,1,1
221302,1,1
218870,1,2
226482,1,-2
215574,1,2
201384,1,1
229955,1,2
208279,1,2
203526,-2,-2
215994,1,-9
222053,1,1
202707,1,-9
206334,1,2
230887,1,2
226215,1,1
215338,1,2
208705,0,-2
222343,1,1
228082,1,1
208941,1,2
224400,1,1
206662,-2,-2
234858,1,2
200725,1,1
208415,1,2
213042,1,1
205577,1,1
213684,1,1
236458,1,1
222107,1,1
204321,1,2
222473,1,1
203236,0,-2
220897,1,1
231095,1,1
200046,0,-2
209784,1,2
203632,1,1
209630,-2,-2
223230,1,1
202608,1,1
210364,1,1
231736,1,1
221012,0,-2
207139,1,1
227232,1,2
233954,0,-2
231613,1,1
223827,1,2
200138,1,1
202714,-2,-2
217532,1,2
203823,1,1
218528,1,1
214113,1,1
217839,1,1
200190,1,3
200565,1,1
204741,-2,-2
220347,1,2
212162,0,-2
225861,1,1
228112,1,1
213363,-2,-2
211978,1,2
200022,1,3
210432,-2,-2
233015,1,1
230320,1,2
235523,1,2
213318,1,1
234582,1,1
213752,1,2
228129,1,3
209562,0,-2
218504,1,2
205218,1,2
215642,1,1
205744,1,1
217815,1,1
221753,1,1
233503,1,1
221814,1,3
217426,1,1
200329,1,1
229436,1,2
208088,1,2
235585,1,3
236212,1,2
232463,1,1
227027,1,1
221890,1,1
234926,1,1
206525,1,3
231804,1,2
202769,1,1
225625,-2,-2
219866,1,1
201025,1,1
236168,1,2
220019,1,2
220941,0,-2
233336,1,1
209395,1,1
200718,1,2
212148,0,-2
220163,1,-2
213240,1,1
200749,0,-2
218078,0,-2
227607,-2,-2
235875,1,3
225953,1,2
208217,1,2
205737,1,2
205058,1,1
225052,1,3
210692,1,5
232111,1,1
221838,1,5
219729,0,-2
233831,1,3
204130,1,2
205195,1,1
225328,1,2
226307,1,1
214151,1,2
206105,1,2
213721,1,2
210418,1,1
202387,1,1
215208,1,2
228600,1,2
203182,1,2
208644,1,1
233145,1,1
213011,1,2
229245,1,1
236465,1,1
202011,1,2
228211,1,1
214120,1,1
230962,1,1
214762,0,-2
215512,1,1
206426,1,1
228648,1,-9
227577,1,1
202592,1,1
219293,-2,-2
201919,1,2
234551,1,2
219927,-2,-2
222244,1,2
207313,1,1
211220,1,2
224714,1,2
212858,1,2
233541,-2,-2
229313,1,2
221036,1,1
220576,0,-2
205140,0,-2
226383,0,-2
203960,0,-2
203410,1,1
227294,1,2
206792,1,2
222466,1,1
226871,1,3
228808,-2,-2
215246,1,2
204796,1,1
214328,1,2
205409,1,1
214038,1,1
232890,1,1
202639,1,1
202813,1,1
215499,1,3
212599,1,2
207818,1,1
228242,1,2
235820,1,1
234704,1,1
219828,-2,-2
231392,1,3
212254,1,1
208231,-2,-2
230672,1,1
220682,1,2
233138,1,2
222701,1,2
221586,1,1
226444,1,1
221883,1,2
202905,1,2
217938,1,1
216775,1,2
214625,1,1
209210,-2,-2
234070,1,1
227485,1,1
204833,1,2
224493,1,1
205430,0,-2
228501,1,1
235806,1,2
216843,1,1
211244,1,1
220309,1,2
200596,1,1
210647,1,1
231699,1,3
206266,0,-2
206211,1,2
234124,1,2
216379,1,1
233251,1,1
223278,1,2
209159,1,2
217976,1,2
207771,1,1
226352,1,1
206440,1,2
207511,0,-2
235561,1,1
224615,1,1
208736,1,1
222275,1,2
211565,1,2
206402,1,1
230825,1,1
225571,1,2
226451,0,-2
216010,-2,-2
203069,1,1
234759,1,1
222626,1,2
213981,1,2
221500,1,1
210296,1,2
231040,1,2
232685,1,2
214564,1,1
234261,1,2
225908,1,2
231057,1,1
236403,1,1
231583,1,1
200558,1,2
202516,1,1
200183,1,2
217303,0,-2
212667,-2,-2
213677,-2,-2
232425,-2,-2
200473,1,2
216782,1,3
220057,1,2
217396,1,2
211718,1,2
212391,1,2
220286,1,1
228334,1,1
211893,1,3
204970,1,2
225137,0,-2
214540,0,-2
229986,1,1
208996,1,2
223285,1,1
224431,0,-2
228747,1,1
224837,1,1
233671,1,1
232517,1,2
230771,-2,-2
219026,1,5
226789,1,1
223186,1,2
223407,1,2
213134,-2,-2
219750,1,2
202363,1,1
230023,1,2
208514,1,2
201544,1,1
231712,1,5
205614,1,2
220859,1,1
220743,1,2
206204,1,1
218696,0,-2
222886,1,2
231910,1,2
234414,1,2
222350,1,2
213400,1,3
226895,1,1
223568,1,2
208002,0,-2
232234,1,2
207443,1,1
212964,1,1
227300,1,2
222930,1,1
211626,1,1
226185,1,2
211336,1,2
222954,1,2
201810,1,2
222664,0,-2
219613,1,2
229832,1,1
212698,1,1
209012,1,1
232982,0,-2
215529,1,1
229405,1,2
224240,1,2
213592,1,1
214014,1,1
218429,-2,-2
201988,1,1
208521,1,1
216430,1,3
225465,1,1
212056,1,4
234612,1,3
227164,0,-2
220316,-2,-2
218825,1,2
235837,-2,-2
211251,1,2
228266,0,-2
203489,1,2
235349,-2,-2
215413,1,2
200886,1,1
230894,1,1
223636,1,2
226000,1,1
227669,1,1
206860,1,1
207047,0,-2
227348,1,2
229665,-2,-2
209388,1,2
224035,0,-2
205003,1,1
229443,1,1
205348,1,2
203397,1,1
217747,0,-2
231088,1,2
228297,1,1
217884,1,2
218061,0,-2
205973,1,2
201476,1,1
229597,1,-2
232722,1,2
214717,-2,-2
202370,1,5
211152,1,1
205553,1,2
201155,1,2
215505,-2,-2
205188,1,1
223032,1,2
235912,1,1
220125,1,1
236120,1,1
208675,1,2
231224,1,1
207931,1,1
215925,0,-2
226338,-2,-2
201377,1,2
232623,0,-2
225489,1,1
209005,1,1
202899,1,2
215079,1,1
208170,1,1
213264,1,-9
207696,1,2
224394,1,1
217945,1,1
217853,1,2
227096,1,1
210319,1,2
207658,1,3
207610,1,4
200787,1,1
212742,-2,-2
230870,1,1
223193,1,3
217730,1,1
205317,1,1
214823,1,1
221708,1,1
223759,1,1
210821,1,2
206501,1,2
210135,1,2
229030,1,-2
215475,1,2
222961,1,2
205287,1,1
228709,1,1
233923,1,1
221906,1,1
217358,0,-2
226901,1,1
207184,1,2
218368,1,2
229818,1,5
204260,0,-2
214205,1,2
222527,1,2
225441,1,2
228136,1,1
203649,1,1
206495,1,2
200206,1,1
225335,-2,-2
225397,-2,-2
233152,0,-2
226246,1,2
216270,1,1
229856,1,1
235219,0,-2
210050,1,1
211329,1,1
203045,1,2
220484,0,-2
220699,0,-2
226512,1,4
228860,1,1
233381,1,2
216997,1,2
202356,-2,-2
202677,1,1
206006,0,-2
218252,1,1
203472,1,1
213462,1,2
223711,1,2
223209,1,1
215987,1,1
230191,1,1
230405,1,1
204420,1,2
211756,1,3
213806,1,3
219996,1,1
234797,1,1
224530,1,1
213851,1,2
200893,1,1
228983,1,2
203151,-2,-2
217631,1,2
234698,1,1
232678,1,2
226154,1,2
222336,1,2
201193,1,2
212407,1,2
228372,1,1
205119,1,1
236151,1,1
221715,-2,-2
232951,1,1
211503,1,1
212834,1,2
221777,1,-2
229238,1,2
212001,1,1
212476,1,2
214045,1,1
223179,1,2
211367,1,2
221043,1,1
203281,1,-9
